reg;clage_vacsi;jour;n_tot_dose1;n_tot_complet;n_tot_rappel;n_tot_2_rappel;pop;couv_tot_dose1;couv_tot_complet;couv_tot_rappel;couv_tot_2_rappel
94;80;2022-04-06;18868;18538;15863;1374.0;24184.0;78.0;76.7;65.6;5.7
01;0;2022-04-06;147667;141653;81177;0.0;376879.0;39.2;37.6;21.5;0.0
02;0;2022-04-06;147899;142564;86297;0.0;358749.0;41.2;39.7;24.1;0.0
03;0;2022-04-06;97151;87846;40353;0.0;290691.0;33.4;30.2;13.9;0.0
04;0;2022-04-06;572895;559872;344614;0.0;859959.0;66.6;65.1;40.1;0.0
06;0;2022-04-06;159986;137480;36820;0.0;279471.0;57.2;49.2;13.2;0.0
07;0;2022-04-06;8632;8331;5421;0.0;9961.0;86.7;83.6;54.4;0.0
08;0;2022-04-06;14276;13404;6088;0.0;35334.0;40.4;37.9;17.2;0.0
11;0;2022-04-06;9358919;9246436;6619908;0.0;12278210.0;76.2;75.3;53.9;0.0
24;0;2022-04-06;2071063;2050016;1610333;0.0;2559073.0;80.9;80.1;62.9;0.0
27;0;2022-04-06;2186071;2163634;1660602;0.0;2783039.0;78.5;77.7;59.7;0.0
28;0;2022-04-06;2726868;2699277;2121815;0.0;3303500.0;82.5;81.7;64.2;0.0
32;0;2022-04-06;4733873;4683960;3597862;0.0;5962662.0;79.4;78.6;60.3;0.0
44;0;2022-04-06;4312073;4266902;3288166;0.0;5511747.0;78.2;77.4;59.7;0.0
52;0;2022-04-06;3141075;3112343;2408098;0.0;3801797.0;82.6;81.9;63.3;0.0
53;0;2022-04-06;2821676;2794303;2196551;0.0;3340379.0;84.5;83.7;65.8;0.0
75;0;2022-04-06;4933893;4880869;3792619;0.0;5999982.0;82.2;81.3;63.2;0.0
76;0;2022-04-06;4623240;4567315;3433860;0.0;5924858.0;78.0;77.1;58.0;0.0
84;0;2022-04-06;6232894;6171147;4566233;0.0;8032377.0;77.6;76.8;56.8;0.0
93;0;2022-04-06;3843143;3786472;2760582;0.0;5055651.0;76.0;74.9;54.6;0.0
94;0;2022-04-06;235539;231994;172421;0.0;344679.0;68.3;67.3;50.0;0.0
