dep;semaine_glissante;pop;P;T
01;2020-09-05-2020-09-11;656955;495;10834
01;2020-09-06-2020-09-12;656955;498;10858
01;2020-09-07-2020-09-13;656955;500;10805
01;2020-09-08-2020-09-14;656955;528;11429
01;2020-09-09-2020-09-15;656955;590;11761
01;2020-09-10-2020-09-16;656955;676;12137
01;2020-09-11-2020-09-17;656955;672;11989
01;2020-09-12-2020-09-18;656955;675;11660
01;2020-09-13-2020-09-19;656955;661;11432
01;2020-09-14-2020-09-20;656955;660;11405
01;2020-09-15-2020-09-21;656955;671;10758
01;2020-09-16-2020-09-22;656955;621;10231
01;2020-09-17-2020-09-23;656955;569;9618
01;2020-09-18-2020-09-24;656955;555;9187
01;2020-09-19-2020-09-25;656955;534;9055
01;2020-09-20-2020-09-26;656955;530;9056
01;2020-09-21-2020-09-27;656955;527;9024
01;2020-09-22-2020-09-28;656955;494;8671
01;2020-09-23-2020-09-29;656955;496;8236
01;2020-09-24-2020-09-30;656955;490;8047
01;2020-09-25-2020-10-01;656955;511;7901
01;2020-09-26-2020-10-02;656955;557;7926
01;2020-09-27-2020-10-03;656955;593;8033
01;2020-09-28-2020-10-04;656955;601;8024
01;2020-09-29-2020-10-05;656955;713;8364
01;2020-09-30-2020-10-06;656955;798;8669
01;2020-10-01-2020-10-07;656955;931;9044
01;2020-10-02-2020-10-08;656955;1085;9510
01;2020-10-03-2020-10-09;656955;1248;10105
01;2020-10-04-2020-10-10;656955;1290;10366
01;2020-10-05-2020-10-11;656955;1293;10405
01;2020-10-06-2020-10-12;656955;1561;11430
01;2020-10-07-2020-10-13;656955;1736;12562
01;2020-10-08-2020-10-14;656955;1909;13684
01;2020-10-09-2020-10-15;656955;2189;14949
01;2020-10-10-2020-10-16;656955;2428;15988
01;2020-10-11-2020-10-17;656955;2529;16308
01;2020-10-12-2020-10-18;656955;2543;16343
01;2020-10-13-2020-10-19;656955;2817;16887
01;2020-10-14-2020-10-20;656955;3246;17628
01;2020-10-15-2020-10-21;656955;3640;18222
01;2020-10-16-2020-10-22;656955;3997;19261
01;2020-10-17-2020-10-23;656955;4478;20251
01;2020-10-18-2020-10-24;656955;4637;20461
01;2020-10-19-2020-10-25;656955;4684;20601
01;2020-10-20-2020-10-26;656955;5121;21583
01;2020-10-21-2020-10-27;656955;5506;22265
01;2020-10-22-2020-10-28;656955;5842;23173
01;2020-10-23-2020-10-29;656955;6085;23976
01;2020-10-24-2020-10-30;656955;6131;24269
01;2020-10-25-2020-10-31;656955;6169;24402
01;2020-10-26-2020-11-01;656955;6174;24391
01;2020-10-27-2020-11-02;656955;6318;24980
01;2020-10-28-2020-11-03;656955;6388;25470
01;2020-10-29-2020-11-04;656955;6197;25423
01;2020-10-30-2020-11-05;656955;6020;25024
01;2020-10-31-2020-11-06;656955;5778;24799
01;2020-11-01-2020-11-07;656955;5647;24580
01;2020-11-02-2020-11-08;656955;5611;24499
01;2020-11-03-2020-11-09;656955;5148;23432
01;2020-11-04-2020-11-10;656955;4563;22303
01;2020-11-05-2020-11-11;656955;3672;18440
01;2020-11-06-2020-11-12;656955;3316;17905
01;2020-11-07-2020-11-13;656955;3016;17382
01;2020-11-08-2020-11-14;656955;2915;17061
01;2020-11-09-2020-11-15;656955;2904;17068
01;2020-11-10-2020-11-16;656955;2610;15931
01;2020-11-11-2020-11-17;656955;2297;14644
01;2020-11-12-2020-11-18;656955;2541;16848
01;2020-11-13-2020-11-19;656955;2224;15450
01;2020-11-14-2020-11-20;656955;1970;14148
01;2020-11-15-2020-11-21;656955;1880;14045
01;2020-11-16-2020-11-22;656955;1866;13977
01;2020-11-17-2020-11-23;656955;1618;13090
01;2020-11-18-2020-11-24;656955;1453;12364
01;2020-11-19-2020-11-25;656955;1336;11450
01;2020-11-20-2020-11-26;656955;1295;10966
01;2020-11-21-2020-11-27;656955;1224;10487
01;2020-11-22-2020-11-28;656955;1241;10507
01;2020-11-23-2020-11-29;656955;1237;10485
01;2020-11-24-2020-11-30;656955;1136;9913
01;2020-11-25-2020-12-01;656955;1091;9746
01;2020-11-26-2020-12-02;656955;1101;9443
01;2020-11-27-2020-12-03;656955;1003;9333
01;2020-11-28-2020-12-04;656955;974;9187
01;2020-11-29-2020-12-05;656955;953;9096
01;2020-11-30-2020-12-06;656955;953;9100
01;2020-12-01-2020-12-07;656955;985;9225
01;2020-12-02-2020-12-08;656955;1030;9459
01;2020-12-03-2020-12-09;656955;1007;9795
01;2020-12-04-2020-12-10;656955;1027;10003
01;2020-12-05-2020-12-11;656955;1032;10498
01;2020-12-06-2020-12-12;656955;1044;10777
01;2020-12-07-2020-12-13;656955;1046;10908
01;2020-12-08-2020-12-14;656955;1040;11613
01;2020-12-09-2020-12-15;656955;1060;13337
01;2020-12-10-2020-12-16;656955;1064;14626
01;2020-12-11-2020-12-17;656955;1102;17237
01;2020-12-12-2020-12-18;656955;1202;23075
01;2020-12-13-2020-12-19;656955;1307;28859
01;2020-12-14-2020-12-20;656955;1417;33184
01;2020-12-15-2020-12-21;656955;1402;36541
01;2020-12-16-2020-12-22;656955;1451;40113
01;2020-12-17-2020-12-23;656955;1467;44787
01;2020-12-18-2020-12-24;656955;1393;44948
01;2020-12-19-2020-12-25;656955;1138;37402
01;2020-12-20-2020-12-26;656955;1050;32293
01;2020-12-21-2020-12-27;656955;948;28006
01;2020-12-22-2020-12-28;656955;972;24858
01;2020-12-23-2020-12-29;656955;934;20402
01;2020-12-24-2020-12-30;656955;978;15759
01;2020-12-25-2020-12-31;656955;1028;14019
01;2020-12-26-2021-01-01;656955;1021;13956
01;2020-12-27-2021-01-02;656955;1034;13829
01;2020-12-28-2021-01-03;656955;1042;13817
01;2020-12-29-2021-01-04;656955;1122;13655
01;2020-12-30-2021-01-05;656955;1171;13699
01;2020-12-31-2021-01-06;656955;1148;12876
01;2021-01-01-2021-01-07;656955;1189;12651
01;2021-01-02-2021-01-08;656955;1438;15121
01;2021-01-03-2021-01-09;656955;1415;14838
01;2021-01-04-2021-01-10;656955;1433;14863
01;2021-01-05-2021-01-11;656955;1379;14653
01;2021-01-06-2021-01-12;656955;1329;14327
01;2021-01-07-2021-01-13;656955;1358;14205
01;2021-01-08-2021-01-14;656955;1354;14013
01;2021-01-09-2021-01-15;656955;1336;14072
01;2021-01-10-2021-01-16;656955;1350;14104
01;2021-01-11-2021-01-17;656955;1315;13993
01;2021-01-12-2021-01-18;656955;1372;13923
01;2021-01-13-2021-01-19;656955;1408;13974
01;2021-01-14-2021-01-20;656955;1411;14168
01;2021-01-15-2021-01-21;656955;1436;14345
01;2021-01-16-2021-01-22;656955;1434;14526
01;2021-01-17-2021-01-23;656955;1468;14656
01;2021-01-18-2021-01-24;656955;1482;14674
01;2021-01-19-2021-01-25;656955;1524;15108
