reg;semaine_glissante;pop;P;T;nom_region
01;2020-07-02-2020-07-08;376879;4;2099;Guadeloupe
01;2020-07-03-2020-07-09;376879;4;2149;Guadeloupe
01;2020-07-04-2020-07-10;376879;4;2366;Guadeloupe
01;2020-07-05-2020-07-11;376879;6;2439;Guadeloupe
01;2020-07-06-2020-07-12;376879;8;2444;Guadeloupe
01;2020-07-07-2020-07-13;376879;9;2582;Guadeloupe
01;2020-07-08-2020-07-14;376879;8;2147;Guadeloupe
01;2020-07-09-2020-07-15;376879;10;2187;Guadeloupe
01;2020-07-10-2020-07-16;376879;10;2227;Guadeloupe
01;2020-07-11-2020-07-17;376879;13;2222;Guadeloupe
01;2020-07-12-2020-07-18;376879;12;2230;Guadeloupe
01;2020-07-13-2020-07-19;376879;10;2229;Guadeloupe
01;2020-07-14-2020-07-20;376879;8;2131;Guadeloupe
01;2020-07-15-2020-07-21;376879;9;2392;Guadeloupe
01;2020-07-16-2020-07-22;376879;8;2136;Guadeloupe
01;2020-07-17-2020-07-23;376879;12;1983;Guadeloupe
01;2020-07-18-2020-07-24;376879;14;1756;Guadeloupe
01;2020-07-19-2020-07-25;376879;14;1748;Guadeloupe
01;2020-07-20-2020-07-26;376879;14;1781;Guadeloupe
01;2020-07-21-2020-07-27;376879;40;1866;Guadeloupe
01;2020-07-22-2020-07-28;376879;60;2209;Guadeloupe
01;2020-07-23-2020-07-29;376879;61;2548;Guadeloupe
01;2020-07-24-2020-07-30;376879;58;2900;Guadeloupe
01;2020-07-25-2020-07-31;376879;55;2956;Guadeloupe
01;2020-07-26-2020-08-01;376879;58;3007;Guadeloupe
01;2020-07-27-2020-08-02;376879;59;3028;Guadeloupe
01;2020-07-28-2020-08-03;376879;41;3242;Guadeloupe
01;2020-07-29-2020-08-04;376879;24;3161;Guadeloupe
01;2020-07-30-2020-08-05;376879;25;3118;Guadeloupe
01;2020-07-31-2020-08-06;376879;41;2887;Guadeloupe
01;2020-08-01-2020-08-07;376879;44;3033;Guadeloupe
01;2020-08-02-2020-08-08;376879;47;3119;Guadeloupe
01;2020-08-03-2020-08-09;376879;51;3144;Guadeloupe
01;2020-08-04-2020-08-10;376879;63;3285;Guadeloupe
01;2020-08-05-2020-08-11;376879;97;3286;Guadeloupe
01;2020-08-06-2020-08-12;376879;117;3518;Guadeloupe
01;2020-08-07-2020-08-13;376879;152;4241;Guadeloupe
01;2020-08-08-2020-08-14;376879;172;4546;Guadeloupe
01;2020-08-09-2020-08-15;376879;175;4496;Guadeloupe
01;2020-08-10-2020-08-16;376879;179;4487;Guadeloupe
01;2020-08-11-2020-08-17;376879;236;4851;Guadeloupe
01;2020-08-12-2020-08-18;376879;270;5423;Guadeloupe
01;2020-08-13-2020-08-19;376879;315;5867;Guadeloupe
