fra;semaine_glissante;pop;P;T
FR;2020-09-07-2020-09-13;67114995;64697;1349791
FR;2020-09-08-2020-09-14;67114995;67166;1378471
FR;2020-09-09-2020-09-15;67114995;69039;1402392
FR;2020-09-10-2020-09-16;67114995;71157;1412702
FR;2020-09-11-2020-09-17;67114995;72844;1406481
FR;2020-09-12-2020-09-18;67114995;74852;1391580
FR;2020-09-13-2020-09-19;67114995;75568;1384654
FR;2020-09-14-2020-09-20;67114995;75805;1385296
FR;2020-09-15-2020-09-21;67114995;76722;1351039
FR;2020-09-16-2020-09-22;67114995;77411;1304276
FR;2020-09-17-2020-09-23;67114995;76963;1259788
FR;2020-09-18-2020-09-24;67114995;75946;1219693
FR;2020-09-19-2020-09-25;67114995;74942;1185906
FR;2020-09-20-2020-09-26;67114995;74534;1176799
FR;2020-09-21-2020-09-27;67114995;74118;1170529
FR;2020-09-22-2020-09-28;67114995;72204;1143579
FR;2020-09-23-2020-09-29;67114995;70772;1119973
FR;2020-09-24-2020-09-30;67114995;71094;1104421
FR;2020-09-25-2020-10-01;67114995;73005;1094862
FR;2020-09-26-2020-10-02;67114995;76917;1092212
FR;2020-09-27-2020-10-03;67114995;79339;1097459
FR;2020-09-28-2020-10-04;67114995;79932;1099092
FR;2020-09-29-2020-10-05;67114995;87640;1112345
FR;2020-09-30-2020-10-06;67114995;94505;1128177
FR;2020-10-01-2020-10-07;67114995;101898;1150278
FR;2020-10-02-2020-10-08;67114995;109800;1186062
FR;2020-10-03-2020-10-09;67114995;117676;1234074
FR;2020-10-04-2020-10-10;67114995;121770;1257830
FR;2020-10-05-2020-10-11;67114995;123012;1264377
FR;2020-10-06-2020-10-12;67114995;133283;1316292
FR;2020-10-07-2020-10-13;67114995;142220;1370157
FR;2020-10-08-2020-10-14;67114995;150303;1432902
FR;2020-10-09-2020-10-15;67114995;159789;1501110
FR;2020-10-10-2020-10-16;67114995;169331;1563674
FR;2020-10-11-2020-10-17;67114995;173305;1590424
FR;2020-10-12-2020-10-18;67114995;174792;1598218
FR;2020-10-13-2020-10-19;67114995;188362;1646040
FR;2020-10-14-2020-10-20;67114995;204127;1686789
FR;2020-10-15-2020-10-21;67114995;222087;1734385
FR;2020-10-16-2020-10-22;67114995;241206;1788184
FR;2020-10-17-2020-10-23;67114995;262978;1853225
FR;2020-10-18-2020-10-24;67114995;272852;1879259
FR;2020-10-19-2020-10-25;67114995;275476;1885963
FR;2020-10-20-2020-10-26;67114995;298961;1951216
FR;2020-10-21-2020-10-27;67114995;316131;2011151
FR;2020-10-22-2020-10-28;67114995;326324;2055081
FR;2020-10-23-2020-10-29;67114995;331382;2086292
FR;2020-10-24-2020-10-30;67114995;334582;2113965
FR;2020-10-25-2020-10-31;67114995;335714;2127506
FR;2020-10-26-2020-11-01;67114995;335357;2127405
FR;2020-10-27-2020-11-02;67114995;336677;2139604
FR;2020-10-28-2020-11-03;67114995;334286;2143959
FR;2020-10-29-2020-11-04;67114995;327473;2130366
FR;2020-10-30-2020-11-05;67114995;318232;2122324
FR;2020-10-31-2020-11-06;67114995;304667;2100497
FR;2020-11-01-2020-11-07;67114995;296326;2079047
FR;2020-11-02-2020-11-08;67114995;293740;2068632
FR;2020-11-03-2020-11-09;67114995;271303;2014698
FR;2020-11-04-2020-11-10;67114995;249601;1975849
FR;2020-11-05-2020-11-11;67114995;204836;1690702
FR;2020-11-06-2020-11-12;67114995;194435;1676050
FR;2020-11-07-2020-11-13;67114995;178376;1612829
FR;2020-11-08-2020-11-14;67114995;171447;1584385
FR;2020-11-09-2020-11-15;67114995;169777;1576500
FR;2020-11-10-2020-11-16;67114995;152524;1494934
FR;2020-11-11-2020-11-17;67114995;136925;1407055
FR;2020-11-12-2020-11-18;67114995;148923;1558519
FR;2020-11-13-2020-11-19;67114995;129211;1442572
FR;2020-11-14-2020-11-20;67114995;116529;1384285
FR;2020-11-15-2020-11-21;67114995;112773;1376877
FR;2020-11-16-2020-11-22;67114995;111897;1375099
FR;2020-11-17-2020-11-23;67114995;99282;1316038
FR;2020-11-18-2020-11-24;67114995;91203;1272196
FR;2020-11-19-2020-11-25;67114995;86480;1252845
