fra;semaine;nb_pos;nb_crib;tx_crib;nb_A0;nb_A1;tx_A1;nb_C0;nb_C1;tx_C1;nb_D0;nb_D1;tx_D1;nb_A0C0;nb_A01C01;tx_A0C0
FR;2021-12-10-2021-12-16;457494.00;129370.00;28.28;113669.00;283.00;0.25;11114.00;104199.00;90.36;10832.00;1406.00;11.49;10813.00;113778.00;9.50
FR;2021-12-11-2021-12-17;467212.00;136947.00;29.31;120258.00;388.00;0.32;14056.00;108217.00;88.50;11894.00;1730.00;12.70;13605.00;120426.00;11.30
FR;2021-12-12-2021-12-18;474890.00;142221.00;29.95;125057.00;450.00;0.36;16211.00;111148.00;87.27;12501.00;2018.00;13.90;15636.00;125280.00;12.48
FR;2021-12-13-2021-12-19;479135.00;144122.00;30.08;126663.00;462.00;0.36;17124.00;111989.00;86.74;12969.00;2294.00;15.03;16476.00;126887.00;12.98
FR;2021-12-14-2021-12-20;496940.00;161710.00;32.54;142849.00;582.00;0.41;25868.00;120273.00;82.30;14626.00;3711.00;20.24;24851.00;143147.00;17.36
FR;2021-12-15-2021-12-21;528766.00;185380.00;35.06;164165.00;757.00;0.46;41147.00;127094.00;75.54;16030.00;6803.00;29.79;39626.00;164581.00;24.08
FR;2021-12-16-2021-12-22;574171.00;213359.00;37.16;189285.00;990.00;0.52;60552.00;133547.00;68.80;17925.00;11853.00;39.80;58392.00;189860.00;30.76
FR;2021-12-17-2021-12-23;635661.00;244614.00;38.48;217543.00;1211.00;0.55;83156.00;140287.00;62.78;21855.00;20080.00;47.88;80277.00;218337.00;36.77
FR;2021-12-18-2021-12-24;685211.00;261729.00;38.20;232994.00;1394.00;0.59;100808.00;138946.00;57.95;25669.00;29325.00;53.32;97123.00;233971.00;41.51
FR;2021-12-19-2021-12-25;654242.00;251963.00;38.51;223980.00;1354.00;0.60;101195.00;129616.00;56.16;25195.00;30772.00;54.98;97293.00;224917.00;43.26
FR;2021-12-20-2021-12-26;676689.00;258413.00;38.19;229407.00;1452.00;0.63;106743.00;130080.00;54.93;25930.00;34382.00;57.01;102224.00;230392.00;44.37
FR;2021-12-21-2021-12-27;842872.00;325188.00;38.58;289349.00;1945.00;0.67;164296.00;134647.00;45.04;37486.00;66797.00;64.05;157721.00;290709.00;54.25
FR;2021-12-22-2021-12-28;1000898.00;380072.00;37.97;339208.00;1951.00;0.57;217810.00;132298.00;37.79;46185.00;101765.00;68.78;209892.00;340498.00;61.64
FR;2021-12-23-2021-12-29;1162440.00;434065.00;37.34;387270.00;1771.00;0.46;271498.00;128640.00;32.15;53157.00;139075.00;72.35;261681.00;388427.00;67.37
FR;2021-12-24-2021-12-30;1322913.00;483448.00;36.54;429430.00;1690.00;0.39;321405.00;122975.00;27.67;57063.00;171802.00;75.07;309444.00;430490.00;71.88
