reg;nom_reg;semaine;nb_pos;nb_crib;tx_crib;nb_A0;nb_A1;tx_A1;nb_C0;nb_C1;tx_C1;nb_D0;nb_D1;tx_D1;nb_A0C0;nb_A01C01;tx_A0C0
84;Auvergne-Rhône-Alpes;2021-11-29-2021-12-05;58606.00;6843.00;11.68;6406.00;11.00;0.17;45.00;6422.00;99.30;1728.00;15.00;0.86;45.00;6417.00;0.70
84;Auvergne-Rhône-Alpes;2021-11-30-2021-12-06;62489.00;8437.00;13.50;7915.00;14.00;0.18;70.00;7923.00;99.12;2453.00;18.00;0.73;68.00;7929.00;0.86
84;Auvergne-Rhône-Alpes;2021-12-01-2021-12-07;64871.00;9735.00;15.01;9162.00;19.00;0.21;81.00;9170.00;99.12;3084.00;20.00;0.64;79.00;9181.00;0.86
84;Auvergne-Rhône-Alpes;2021-12-02-2021-12-08;66548.00;10457.00;15.71;9861.00;21.00;0.21;98.00;9855.00;99.02;3569.00;21.00;0.58;96.00;9882.00;0.97
84;Auvergne-Rhône-Alpes;2021-12-03-2021-12-09;67112.00;11003.00;16.39;10371.00;21.00;0.20;135.00;10330.00;98.71;3550.00;26.00;0.73;131.00;10392.00;1.26
84;Auvergne-Rhône-Alpes;2021-12-04-2021-12-10;67306.00;11698.00;17.38;11069.00;16.00;0.14;203.00;10946.00;98.18;3546.00;30.00;0.84;197.00;11085.00;1.78
84;Auvergne-Rhône-Alpes;2021-12-05-2021-12-11;67386.00;12128.00;18.00;11490.00;15.00;0.13;264.00;11296.00;97.72;3625.00;30.00;0.82;256.00;11504.00;2.23
84;Auvergne-Rhône-Alpes;2021-12-06-2021-12-12;67398.00;12157.00;18.04;11518.00;15.00;0.13;265.00;11325.00;97.71;3627.00;28.00;0.77;257.00;11532.00;2.23
84;Auvergne-Rhône-Alpes;2021-12-07-2021-12-13;68323.00;13075.00;19.14;12391.00;11.00;0.09;377.00;12072.00;96.97;3628.00;32.00;0.87;369.00;12401.00;2.98
84;Auvergne-Rhône-Alpes;2021-12-08-2021-12-14;69175.00;13791.00;19.94;13069.00;8.00;0.06;594.00;12535.00;95.48;3499.00;48.00;1.35;582.00;13076.00;4.45
84;Auvergne-Rhône-Alpes;2021-12-09-2021-12-15;70000.00;14831.00;21.19;14052.00;5.00;0.04;960.00;13172.00;93.21;3364.00;77.00;2.24;929.00;14056.00;6.61
84;Auvergne-Rhône-Alpes;2021-12-10-2021-12-16;71207.00;16016.00;22.49;15194.00;10.00;0.07;1349.00;13940.00;91.18;3416.00;127.00;3.58;1306.00;15201.00;8.59
84;Auvergne-Rhône-Alpes;2021-12-11-2021-12-17;72556.00;17332.00;23.89;16476.00;10.00;0.06;1801.00;14807.00;89.16;3151.00;166.00;5.00;1743.00;16482.00;10.58
84;Auvergne-Rhône-Alpes;2021-12-12-2021-12-18;73372.00;18581.00;25.32;17651.00;12.00;0.07;2176.00;15673.00;87.81;2928.00;176.00;5.67;2111.00;17660.00;11.95
84;Auvergne-Rhône-Alpes;2021-12-13-2021-12-19;73927.00;18894.00;25.56;17939.00;12.00;0.07;2289.00;15864.00;87.39;2971.00;199.00;6.28;2216.00;17948.00;12.35
84;Auvergne-Rhône-Alpes;2021-12-14-2021-12-20;76285.00;24560.00;32.20;23236.00;16.00;0.07;3978.00;19668.00;83.18;2811.00;357.00;11.27;3856.00;23248.00;16.59
