reg;clage_vacsi;jour;n_tot_dose1;n_tot_complet;n_tot_rappel;n_tot_2_rappel;pop;couv_tot_dose1;couv_tot_complet;couv_tot_rappel;couv_tot_2_rappel
53;09;2022-04-28;8520;6734;18;0;193713.0;4.4;3.5;0.0;0.0
53;64;2022-04-28;212416;211685;194931;6087;221005.0;96.1;95.8;88.2;2.8
53;69;2022-04-28;205837;205061;191615;5849;215704.0;95.4;95.1;88.8;2.7
53;74;2022-04-28;204123;203113;191161;5984;195395.0;99.0;99.0;97.8;3.1
53;79;2022-04-28;119851;119118;111663;10098;115507.0;99.0;99.0;96.7;8.7
53;80;2022-04-28;219930;216671;191534;38219;237637.0;92.5;91.2;80.6;16.1
75;04;2022-04-28;102;23;3;0;274488.0;0.0;0.0;0.0;0.0
75;11;2022-04-28;13751;10527;184;0;138201.0;10.0;7.6;0.1;0.0
75;17;2022-04-28;368886;360613;70449;0;415182.0;88.8;86.9;17.0;0.0
75;24;2022-04-28;435641;429955;305473;0;448923.0;97.0;95.8;68.0;0.0
75;29;2022-04-28;272176;268532;187359;0;288262.0;94.4;93.2;65.0;0.0
75;39;2022-04-28;602090;595132;430566;0;679104.0;88.7;87.6;63.4;0.0
75;49;2022-04-28;690593;685453;548202;0;757513.0;91.2;90.5;72.4;0.0
75;59;2022-04-28;759599;755696;658474;0;804241.0;94.4;94.0;81.9;0.0
75;09;2022-04-28;10686;7987;38;0;323907.0;3.3;2.5;0.0;0.0
75;64;2022-04-28;377845;376256;340825;9357;404276.0;93.5;93.1;84.3;2.3
75;69;2022-04-28;379338;377710;348332;10147;405407.0;93.6;93.2;85.9;2.5
75;74;2022-04-28;375340;373499;346557;11391;367546.0;99.0;99.0;94.3;3.1
75;79;2022-04-28;236876;235271;217138;19481;233838.0;99.0;99.0;92.9;8.3
75;80;2022-04-28;413145;406956;356375;63110;459094.0;90.0;88.6;77.6;13.7
76;04;2022-04-28;109;35;8;0;291512.0;0.0;0.0;0.0;0.0
76;11;2022-04-28;9002;7230;209;0;138868.0;6.5;5.2;0.2;0.0
76;17;2022-04-28;327132;318696;54551;0;414113.0;79.0;77.0;13.2;0.0
76;24;2022-04-28;420105;413187;278504;0;471999.0;89.0;87.5;59.0;0.0
76;29;2022-04-28;270518;266039;174500;0;306711.0;88.2;86.7;56.9;0.0
76;39;2022-04-28;581981;573696;389561;0;694345.0;83.8;82.6;56.1;0.0
76;49;2022-04-28;656667;650442;497219;0;740353.0;88.7;87.9;67.2;0.0
76;59;2022-04-28;725121;720403;609077;0;786358.0;92.2;91.6;77.5;0.0
76;09;2022-04-28;6488;5065;22;0;333033.0;1.9;1.5;0.0;0.0
76;64;2022-04-28;348382;346567;306801;7306;378662.0;92.0;91.5;81.0;1.9
76;69;2022-04-28;341488;339832;308337;8470;375224.0;91.0;90.6;82.2;2.3
76;74;2022-04-28;340984;339176;311457;10489;346007.0;98.5;98.0;90.0;3.0
76;79;2022-04-28;226994;225434;206315;18582;226463.0;99.0;99.0;91.1;8.2
76;80;2022-04-28;371550;365528;316764;54668;421210.0;88.2;86.8;75.2;13.0
84;04;2022-04-28;139;51;11;0;445712.0;0.0;0.0;0.0;0.0
84;11;2022-04-28;17105;13979;406;0;201691.0;8.5;6.9;0.2;0.0
84;17;2022-04-28;489735;478800;88109;0;599021.0;81.8;79.9;14.7;0.0
84;24;2022-04-28;598287;591941;400309;0;649658.0;92.1;91.1;61.6;0.0
84;29;2022-04-28;399372;395340;261020;0;444164.0;89.9;89.0;58.8;0.0
84;39;2022-04-28;863001;854748;581763;0;1005784.0;85.8;85.0;57.8;0.0
84;49;2022-04-28;919795;913454;694175;0;1035354.0;88.8;88.2;67.0;0.0
84;59;2022-04-28;966891;961706;809134;0;1044459.0;92.6;92.1;77.5;0.0
84;09;2022-04-28;13282;10386;144;0;494925.0;2.7;2.1;0.0;0.0
84;64;2022-04-28;437021;435111;385078;8547;473708.0;92.3;91.9;81.3;1.8
84;69;2022-04-28;410506;408674;371403;9608;452952.0;90.6;90.2;82.0;2.1
84;74;2022-04-28;405909;403878;371142;12237;413343.0;98.2;97.7;89.8;3.0
84;79;2022-04-28;272877;271147;248659;23197;274019.0;99.0;99.0;90.7;8.5
84;80;2022-04-28;441569;435278;379172;71248;497587.0;88.7;87.5;76.2;14.3
93;04;2022-04-28;131;51;5;0;264138.0;0.0;0.0;0.0;0.0
93;11;2022-04-28;6144;5038;222;0;117471.0;5.2;4.3;0.2;0.0
93;17;2022-04-28;235048;227453;40150;0;344616.0;68.2;66.0;11.7;0.0
93;24;2022-04-28;327387;319907;199007;0;368997.0;88.7;86.7;53.9;0.0
93;29;2022-04-28;219575;214899;131044;0;255710.0;85.9;84.0;51.2;0.0
93;39;2022-04-28;496823;487576;309233;0;599102.0;82.9;81.4;51.6;0.0
93;49;2022-04-28;554241;547291;395301;0;631386.0;87.8;86.7;62.6;0.0
