fra;semaine;nb_pos;nb_crib;tx_crib;nb_A0;nb_A1;tx_A1;nb_C0;nb_C1;tx_C1;nb_D0;nb_D1;tx_D1;nb_A0C0;nb_A01C01;tx_A0C0
FR;2021-12-12-2021-12-18;475664.00;142689.00;30.00;125455.00;452.00;0.36;16327.00;111438.00;87.22;12536.00;2024.00;13.90;15750.00;125680.00;12.53
FR;2021-12-13-2021-12-19;479924.00;144613.00;30.13;127081.00;464.00;0.36;17247.00;112292.00;86.69;13005.00;2300.00;15.03;16597.00;127307.00;13.04
FR;2021-12-14-2021-12-20;497795.00;162397.00;32.62;143449.00;585.00;0.41;26053.00;120702.00;82.25;14699.00;3730.00;20.24;25029.00;143750.00;17.41
FR;2021-12-15-2021-12-21;529763.00;186232.00;35.15;164900.00;763.00;0.46;41394.00;127600.00;75.51;16121.00;6837.00;29.78;39862.00;165322.00;24.11
FR;2021-12-16-2021-12-22;575371.00;214405.00;37.26;190194.00;998.00;0.52;60883.00;134150.00;68.78;18064.00;11944.00;39.80;58704.00;190777.00;30.77
FR;2021-12-17-2021-12-23;637313.00;246096.00;38.61;218838.00;1220.00;0.55;83681.00;141094.00;62.77;22123.00;20299.00;47.85;80775.00;219641.00;36.78
FR;2021-12-18-2021-12-24;689384.00;263713.00;38.25;234747.00;1405.00;0.59;101656.00;139900.00;57.92;26043.00;29711.00;53.29;97932.00;235733.00;41.54
FR;2021-12-19-2021-12-25;658957.00;253956.00;38.54;225736.00;1365.00;0.60;102066.00;130555.00;56.12;25583.00;31188.00;54.94;98118.00;226682.00;43.28
FR;2021-12-20-2021-12-26;682350.00;260634.00;38.20;231360.00;1467.00;0.63;107772.00;131066.00;54.88;26371.00;34921.00;56.97;103204.00;232358.00;44.42
FR;2021-12-21-2021-12-27;853130.00;330313.00;38.72;293971.00;1979.00;0.67;167508.00;136164.00;44.84;38486.00;69391.00;64.32;160849.00;295363.00;54.46
FR;2021-12-22-2021-12-28;1011822.00;389579.00;38.50;347941.00;1984.00;0.57;224649.00;134376.00;37.43;47825.00;108023.00;69.31;216578.00;349260.00;62.01
FR;2021-12-23-2021-12-29;1174228.00;450578.00;38.37;402615.00;1803.00;0.45;284208.00;131557.00;31.64;55704.00;151221.00;73.08;274143.00;403799.00;67.89
FR;2021-12-24-2021-12-30;1335464.00;509144.00;38.12;453229.00;1780.00;0.39;341849.00;126826.00;27.06;60676.00;191741.00;75.96;329441.00;454373.00;72.50
FR;2021-12-25-2021-12-31;1468485.00;548333.00;37.34;487133.00;1669.00;0.34;381392.00;122433.00;24.30;62582.00;220726.00;77.91;367826.00;488183.00;75.35
FR;2021-12-26-2022-01-01;1482824.00;551251.00;37.18;489157.00;1648.00;0.34;384363.00;121786.00;24.06;62556.00;222937.00;78.09;370499.00;490194.00;75.58
FR;2021-12-27-2022-01-02;1521893.00;559273.00;36.75;495308.00;1624.00;0.33;392192.00;120941.00;23.57;62724.00;228917.00;78.49;377565.00;496371.00;76.07
FR;2021-12-28-2022-01-03;1763097.00;597730.00;33.90;524243.00;1476.00;0.28;438730.00;104469.00;19.23;59149.00;266254.00;81.82;422918.00;525299.00;80.51
FR;2021-12-29-2022-01-04;1918527.00;613516.00;31.98;531059.00;1944.00;0.36;459056.00;90991.00;16.54;54672.00;287838.00;84.04;443086.00;532730.00;83.17
