reg;semaine_glissante;pop;P;T;nom_region
07;2021-03-24-2021-03-30;9961;38;1141;Saint-Barthélemy
07;2021-03-25-2021-03-31;9961;32;1073;Saint-Barthélemy
07;2021-03-26-2021-04-01;9961;33;988;Saint-Barthélemy
07;2021-03-27-2021-04-02;9961;23;935;Saint-Barthélemy
07;2021-03-28-2021-04-03;9961;20;968;Saint-Barthélemy
07;2021-03-29-2021-04-04;9961;20;973;Saint-Barthélemy
07;2021-03-30-2021-04-05;9961;13;794;Saint-Barthélemy
07;2021-03-31-2021-04-06;9961;16;879;Saint-Barthélemy
07;2021-04-01-2021-04-07;9961;20;884;Saint-Barthélemy
07;2021-04-02-2021-04-08;9961;21;987;Saint-Barthélemy
07;2021-04-03-2021-04-09;9961;22;1032;Saint-Barthélemy
07;2021-04-04-2021-04-10;9961;24;978;Saint-Barthélemy
07;2021-04-05-2021-04-11;9961;27;990;Saint-Barthélemy
07;2021-04-06-2021-04-12;9961;41;1136;Saint-Barthélemy
07;2021-04-07-2021-04-13;9961;35;986;Saint-Barthélemy
07;2021-04-08-2021-04-14;9961;37;979;Saint-Barthélemy
07;2021-04-09-2021-04-15;9961;31;838;Saint-Barthélemy
07;2021-04-10-2021-04-16;9961;31;824;Saint-Barthélemy
07;2021-04-11-2021-04-17;9961;29;840;Saint-Barthélemy
07;2021-04-12-2021-04-18;9961;26;827;Saint-Barthélemy
07;2021-04-13-2021-04-19;9961;14;746;Saint-Barthélemy
07;2021-04-14-2021-04-20;9961;13;790;Saint-Barthélemy
07;2021-04-15-2021-04-21;9961;9;762;Saint-Barthélemy
07;2021-04-16-2021-04-22;9961;11;880;Saint-Barthélemy
07;2021-04-17-2021-04-23;9961;12;866;Saint-Barthélemy
07;2021-04-18-2021-04-24;9961;11;871;Saint-Barthélemy
07;2021-04-19-2021-04-25;9961;12;876;Saint-Barthélemy
07;2021-04-20-2021-04-26;9961;11;876;Saint-Barthélemy
07;2021-04-21-2021-04-27;9961;11;820;Saint-Barthélemy
07;2021-04-22-2021-04-28;9961;9;868;Saint-Barthélemy
07;2021-04-23-2021-04-29;9961;8;806;Saint-Barthélemy
07;2021-04-24-2021-04-30;9961;7;843;Saint-Barthélemy
07;2021-04-25-2021-05-01;9961;7;764;Saint-Barthélemy
07;2021-04-26-2021-05-02;9961;6;769;Saint-Barthélemy
07;2021-04-27-2021-05-03;9961;11;844;Saint-Barthélemy
07;2021-04-28-2021-05-04;9961;14;873;Saint-Barthélemy
07;2021-04-29-2021-05-05;9961;15;863;Saint-Barthélemy
07;2021-04-30-2021-05-06;9961;13;799;Saint-Barthélemy
07;2021-05-01-2021-05-07;9961;14;738;Saint-Barthélemy
07;2021-05-02-2021-05-08;9961;14;741;Saint-Barthélemy
07;2021-05-03-2021-05-09;9961;16;725;Saint-Barthélemy
08;2020-05-13-2020-05-19;35334;0;94;Saint-Martin
08;2020-05-14-2020-05-20;35334;0;96;Saint-Martin
08;2020-05-15-2020-05-21;35334;0;94;Saint-Martin
08;2020-05-16-2020-05-22;35334;1;99;Saint-Martin
08;2020-05-17-2020-05-23;35334;1;56;Saint-Martin
08;2020-05-18-2020-05-24;35334;1;56;Saint-Martin
08;2020-05-19-2020-05-25;35334;1;43;Saint-Martin
08;2020-05-20-2020-05-26;35334;1;46;Saint-Martin
08;2020-05-21-2020-05-27;35334;1;50;Saint-Martin
08;2020-05-22-2020-05-28;35334;1;73;Saint-Martin
08;2020-05-23-2020-05-29;35334;1;74;Saint-Martin
08;2020-05-24-2020-05-30;35334;1;77;Saint-Martin
08;2020-05-25-2020-05-31;35334;1;77;Saint-Martin
08;2020-05-26-2020-06-01;35334;1;55;Saint-Martin
08;2020-05-27-2020-06-02;35334;1;66;Saint-Martin
08;2020-05-28-2020-06-03;35334;1;67;Saint-Martin
08;2020-05-29-2020-06-04;35334;1;68;Saint-Martin
08;2020-05-30-2020-06-05;35334;0;67;Saint-Martin
08;2020-05-31-2020-06-06;35334;0;80;Saint-Martin
08;2020-06-01-2020-06-07;35334;0;81;Saint-Martin
08;2020-06-02-2020-06-08;35334;1;96;Saint-Martin
08;2020-06-03-2020-06-09;35334;1;89;Saint-Martin
08;2020-06-04-2020-06-10;35334;1;95;Saint-Martin
08;2020-06-05-2020-06-11;35334;1;82;Saint-Martin
08;2020-06-06-2020-06-12;35334;1;86;Saint-Martin
08;2020-06-07-2020-06-13;35334;1;68;Saint-Martin
08;2020-06-08-2020-06-14;35334;1;67;Saint-Martin
08;2020-06-09-2020-06-15;35334;0;65;Saint-Martin
08;2020-06-10-2020-06-16;35334;0;66;Saint-Martin
08;2020-06-11-2020-06-17;35334;0;76;Saint-Martin
08;2020-06-12-2020-06-18;35334;0;95;Saint-Martin
08;2020-06-13-2020-06-19;35334;0;100;Saint-Martin
08;2020-06-14-2020-06-20;35334;0;99;Saint-Martin
08;2020-06-15-2020-06-21;35334;0;100;Saint-Martin
08;2020-06-16-2020-06-22;35334;1;107;Saint-Martin
08;2020-06-17-2020-06-23;35334;1;117;Saint-Martin
08;2020-06-18-2020-06-24;35334;2;106;Saint-Martin
08;2020-06-19-2020-06-25;35334;2;107;Saint-Martin
08;2020-06-20-2020-06-26;35334;2;101;Saint-Martin
08;2020-06-21-2020-06-27;35334;2;101;Saint-Martin
08;2020-06-22-2020-06-28;35334;2;101;Saint-Martin
08;2020-06-23-2020-06-29;35334;1;91;Saint-Martin
08;2020-06-24-2020-06-30;35334;1;96;Saint-Martin
08;2020-06-25-2020-07-01;35334;0;100;Saint-Martin
08;2020-06-26-2020-07-02;35334;0;94;Saint-Martin
08;2020-06-27-2020-07-03;35334;0;137;Saint-Martin
08;2020-06-28-2020-07-04;35334;0;140;Saint-Martin
08;2020-06-29-2020-07-05;35334;0;144;Saint-Martin
08;2020-06-30-2020-07-06;35334;0;171;Saint-Martin
08;2020-07-01-2020-07-07;35334;0;197;Saint-Martin
08;2020-07-02-2020-07-08;35334;0;210;Saint-Martin
08;2020-07-03-2020-07-09;35334;0;230;Saint-Martin
08;2020-07-04-2020-07-10;35334;0;216;Saint-Martin
08;2020-07-05-2020-07-11;35334;0;216;Saint-Martin
08;2020-07-06-2020-07-12;35334;0;216;Saint-Martin
08;2020-07-07-2020-07-13;35334;0;212;Saint-Martin
08;2020-07-08-2020-07-14;35334;0;161;Saint-Martin
08;2020-07-09-2020-07-15;35334;2;181;Saint-Martin
08;2020-07-10-2020-07-16;35334;2;161;Saint-Martin
08;2020-07-11-2020-07-17;35334;2;217;Saint-Martin
08;2020-07-12-2020-07-18;35334;2;218;Saint-Martin
08;2020-07-13-2020-07-19;35334;2;217;Saint-Martin
08;2020-07-14-2020-07-20;35334;4;222;Saint-Martin
08;2020-07-15-2020-07-21;35334;4;234;Saint-Martin
08;2020-07-16-2020-07-22;35334;2;193;Saint-Martin
08;2020-07-17-2020-07-23;35334;3;207;Saint-Martin
