fra;jour;n_dose1;n_complet;n_rappel;n_cum_dose1;n_cum_complet;n_cum_rappel;couv_dose1;couv_complet;couv_rappel
FR;2020-12-27;597;54;0;597;54;0;0.0;0.0;0.0
FR;2020-12-28;651;42;0;1248;96;0;0.0;0.0;0.0
FR;2020-12-29;369;19;0;1617;115;0;0.0;0.0;0.0
FR;2020-12-30;433;17;0;2050;132;0;0.0;0.0;0.0
FR;2020-12-31;370;19;0;2420;151;0;0.0;0.0;0.0
FR;2021-01-01;1110;63;0;3530;214;0;0.0;0.0;0.0
FR;2021-01-02;348;30;0;3878;244;0;0.0;0.0;0.0
FR;2021-01-03;397;27;0;4275;271;0;0.0;0.0;0.0
FR;2021-01-04;2074;47;0;6349;318;0;0.0;0.0;0.0
FR;2021-01-05;6945;85;0;13294;403;0;0.0;0.0;0.0
FR;2021-01-06;12299;111;0;25593;514;0;0.0;0.0;0.0
FR;2021-01-07;29434;155;0;55027;669;0;0.1;0.0;0.0
FR;2021-01-08;37107;196;0;92134;865;0;0.1;0.0;0.0
FR;2021-01-09;11206;74;0;103340;939;0;0.2;0.0;0.0
FR;2021-01-10;5988;21;0;109328;960;0;0.2;0.0;0.0
FR;2021-01-11;39915;224;0;149243;1184;0;0.2;0.0;0.0
FR;2021-01-12;62103;309;0;211346;1493;0;0.3;0.0;0.0
FR;2021-01-13;65054;426;0;276400;1919;0;0.4;0.0;0.0
FR;2021-01-14;83123;1201;0;359523;3120;0;0.5;0.0;0.0
FR;2021-01-15;68968;569;0;428491;3689;0;0.6;0.0;0.0
FR;2021-01-16;20203;197;0;448694;3886;0;0.7;0.0;0.0
FR;2021-01-17;10975;131;0;459669;4017;0;0.7;0.0;0.0
FR;2021-01-18;85809;624;0;545478;4641;0;0.8;0.0;0.0
FR;2021-01-19;130555;855;0;676033;5496;0;1.0;0.0;0.0
FR;2021-01-20;137491;870;0;813524;6366;0;1.2;0.0;0.0
FR;2021-01-21;158348;984;0;971872;7350;0;1.4;0.0;0.0
FR;2021-01-22;121021;813;0;1092893;8163;0;1.6;0.0;0.0
